Ranking,book_name,author,NTD_price,link
1,Excel 職場聖經：731 技學好學滿,施威銘研究室,473,https://www.books.com.tw/products/0010905169?loc=P_0001_001
2,不敗學習力：學霸都在用的10大聰明讀書法（暢銷加碼附贈康乃爾筆記本）,劉軒,251,https://www.books.com.tw/products/0010931213?loc=P_0001_002
3,屏東海底40米,屏東縣政府,342,https://www.books.com.tw/products/0010935862?loc=P_0001_003
4,楞嚴經蠡測【第肆冊】,王薀老師,,https://www.books.com.tw/products/0010932510?loc=P_0001_004
5,伊莉莎白女王：一位現代君主的傳記,莎莉．貝德爾．史密斯,525,https://www.books.com.tw/products/0010814854?loc=P_0001_005
6,可以強悍，也可以示弱：有身段也有手段，人生的規矩我說了算,黃大米,292,https://www.books.com.tw/products/0010930544?loc=P_0001_006
7,原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,261,https://www.books.com.tw/products/0010822522?loc=P_0001_007
8,逆思維：華頓商學院最具影響力的教授，突破人生盲點的全局思考【博客來獨家書封版】,亞當．格蘭特,332,https://www.books.com.tw/products/0010928119?loc=P_0001_008
9,做個氣派的大人：Still Learning,陳婉若,300,https://www.books.com.tw/products/0010935545?loc=P_0001_009
10,隨便想想2.0：台灣應以其文化素養，來引領人類往前走,林蒼生,356,https://www.books.com.tw/products/0010923655?loc=P_0001_010
11,療癒的飲食與斷食：新時代的個人營養學,楊定一,395,https://www.books.com.tw/products/0010924662?loc=P_0001_011
12,大學中文教程：學院報告寫作,清華大學寫作中心、劉承慧、王萬儀,221,https://www.books.com.tw/products/0010487195?loc=P_0001_012
13,一點都不想相親的我設下高門檻條件，結果同班同學成了婚約對象!? (3),桜木桜,174,https://www.books.com.tw/products/0010931488?loc=P_0001_013
14,今貝世界,丁予嘉,277,https://www.books.com.tw/products/0010933762?loc=P_0001_014
15,學習障礙：理念與實務,王瓊珠,428,https://www.books.com.tw/products/0010785682?loc=P_0001_015
16,光澤美肌保養術,王朝輝,332,https://www.books.com.tw/products/0010916786?loc=P_0001_016
17,秋光侘寂（限量簽名版）,吳鳴,277,https://www.books.com.tw/products/0010935350?loc=P_0001_017
18,李後主事件簿：他死一次，活了千年,蔡詩萍,316,https://www.books.com.tw/products/0010934813?loc=P_0001_018
19,時代華語1 〔可下載雲端MP3音檔〕,淡江大學華語中心,616,https://www.books.com.tw/products/0010823196?loc=P_0001_019
20,擁有超常技能的異世界流浪美食家 12 炸雞塊×巨大的古代龍 (首刷限定版),江口連,276,https://www.books.com.tw/products/0010934462?loc=P_0001_020
21,P.E.T.父母效能訓練,湯瑪斯．高登,285,https://www.books.com.tw/products/0010570520?loc=P_0001_021
22,有些事，真不好說【首刷限定．子駿牧師手繪扉頁印簽】：9堂神效溝通TALK（透明真實版）,柳子駿,332,https://www.books.com.tw/products/0010933536?loc=P_0001_022
23,被討厭的勇氣：自我啟發之父「阿德勒」的教導,"岸見一郎,古賀史健",237,https://www.books.com.tw/products/0010653153?loc=P_0001_023
24,不便利的便利店,金浩然,316,https://www.books.com.tw/products/0010933558?loc=P_0001_024
25,管他的，就是要有盼望Hope Anyways：萬力豪牧師的7個人生變化球,萬力豪,308,https://www.books.com.tw/products/0010934349?loc=P_0001_025
26,勞退新制全攻略：25招教你領好領滿,經濟日報新聞部,71,https://www.books.com.tw/products/0010861903?loc=P_0001_026
27,羅傑．費德勒：無可取代的網球之王,雷恩‧史道佛,395,https://www.books.com.tw/products/0010900322?loc=P_0001_027
28,什麼樣的業力輪迴，造就現在的你：解開金錢、健康、人際關係、工作、共業的迷津,芭芭拉．馬丁& 狄米崔．莫瑞提斯,332,https://www.books.com.tw/products/0010854166?loc=P_0001_028
29,蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,316,https://www.books.com.tw/products/0010914794?loc=P_0001_029
30,全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）,David Cho,394,https://www.books.com.tw/products/0010929979?loc=P_0001_030
31,「科學實證」精油功效聖經：124篇全球芳療專家認證論文＋45種精油專題研究＋198款應用配方完整蒐錄，讓精油運用更具說服力！,"Kenny,Valerie林采蓉",394,https://www.books.com.tw/products/0010935471?loc=P_0001_031
32,Silent Witch 沉默魔女的祕密 (2),依空まつり,221,https://www.books.com.tw/products/0010931487?loc=P_0001_032
33,ONE PIECE航海王 103,尾田榮一郎,105,https://www.books.com.tw/products/0010934454?loc=P_0001_033
34,(親簽版)怡辰老師的高效時間管理課：心態×概念×工具，打造恆毅力的人生複利心法,林怡辰,300,https://www.books.com.tw/products/0010934693?loc=P_0001_034
35,無底洞,潘市連,363,https://www.books.com.tw/products/0010934847?loc=P_0001_035
36,【完全版】新世紀福音戰士 特裝BOX (博客來&台灣角川限定款),貞本義行,,https://www.books.com.tw/products/0010935333?loc=P_0001_036
37,核心逆齡 節拍超慢跑：徒手慢養好肌力，幫你去油肚、解疼痛、降三高、增加骨密度與代謝力，抗老化擺脫肌少症！,徐棟英,300,https://www.books.com.tw/products/0010922999?loc=P_0001_037
38,母愛有多難：她從多重障礙兒身上，看見更真實的自己,李換,261,https://www.books.com.tw/products/0010933369?loc=P_0001_038
39,社會工作價值與倫理(第三版),Frederic G. Reamer,304,https://www.books.com.tw/products/0010490072?loc=P_0001_039
40,底層邏輯：看清這個世界的底牌,劉潤,316,https://www.books.com.tw/products/0010919211?loc=P_0001_040
41,稻盛和夫 工作的方法：了解工作的本質，實踐自我，從平凡變非凡的成長方程式,稻盛和夫,332,https://www.books.com.tw/products/0010930831?loc=P_0001_041
42,義妹生活 (3),三河ごーすと,158,https://www.books.com.tw/products/0010931490?loc=P_0001_042
43,教授為什麼沒告訴我(2020進化版),畢恆達,379,https://www.books.com.tw/products/0010869611?loc=P_0001_043
44,給存股新手的財富翻滾筆記【隨書附贈：存股新手SOP小冊】：最適合小資族的「金融股543規律」，用薪水4萬輕鬆打造年收股息20萬！,小車X存股實驗,300,https://www.books.com.tw/products/0010918747?loc=P_0001_044
45,恆久卓越的修煉：掌握永續藍圖，厚植營運韌性，在挑戰與變動中躍升,"詹姆．柯林斯,比爾．雷吉爾",514,https://www.books.com.tw/products/0010919267?loc=P_0001_045
46,從零開始，用YouTube影片學日文：日語名師井上一宏為零基礎自學者設計的22堂線上影音課,井上一宏,394,https://www.books.com.tw/products/0010934179?loc=P_0001_046
47,名偵探柯南(100)特別版,青山剛昌,108,https://www.books.com.tw/products/0010934684?loc=P_0001_047
48,全新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：全新收錄精準 10 回模擬試題！徹底反映命題趨勢、大幅提升實戰能力！（附2 MP3＋音檔下載QR碼）,Hackers Academia,1162,https://www.books.com.tw/products/0010884862?loc=P_0001_048
49,時間，才是最後的答案,角子,300,https://www.books.com.tw/products/0010911428?loc=P_0001_049
